,newdata.user_id,newdata.created_at,newdata.screen_name,newdata.text,newdata.source,newdata.display_text_width,newdata.reply_to_status_id,newdata.reply_to_user_id,newdata.reply_to_screen_name,newdata.is_quote,newdata.is_retweet,newdata.favorite_count,newdata.quote_count,newdata.reply_count,newdata.location,score
814,1398824554789669888,2022-06-12 22:03:51,BillyCarruther3,RYANARD2011 MMFA YOU PROBABLY SHOULD WATCH SOME MORE FOX THEYRE THE ONLY CHANNEL THAT REPORTS ALL THE NEWS IGNORING THE KAVANAGH ASSASSINATION ATTEMPT IS AN ALL TIME LOW,Twitter for iPhone,180,1.53602801289383e+18,2377775756.0,ryanard2011,True,False,0,,,Cydonia,positiva
815,1522966477116169984,2022-06-12 22:03:09,itmewhome1,DEVASTATING NEWS RIP COOPER NORIEGA LIFE IS FRAGILE ENJOY EVERY MINUTE,Twitter for iPhone,112,,,,False,True,0,,,,negativa
816,766749107243323008,2022-06-12 22:02:22,btsispreciousss,DEVASTATING NEWS RIP COOPER NORIEGA LIFE IS FRAGILE ENJOY EVERY MINUTE,Twitter for iPhone,112,,,,False,True,0,,,Serbia,negativa
817,1110711639064690048,2022-06-12 22:02:10,OnDisasters,THREAD 2016 ARTICLE ON THE ACCIDENT INCLUDING PERIOD NEWS REPORTS,Twitter Web App,91,1.53610661223818e+18,1.11071163906469e+18,OnDisasters,False,False,1,,,"Livramento, Azores, Portugal",neutral/SI
818,1490071920712290048,2022-06-12 22:02:05,akkanalke1,CANADIANUKRAIN1 YOUR POSTS ARE WHAT MAKES ME CONSTANTLY WANT TO CHECK MY TWITTER FEED FOR UPDATES IMO NO OTHER NEWS SOURCE PROVIDE THE SAME KIND OF INSTANT STATUS REPORTS AS YOU DO WHEN YOU GUYS HAVE WON THIS WAR YOUR TEAMS EXPERIENCES NEED TO BECOME A BOOK AND A FILM SLAVA UKRAINI,Twitter for iPhone,275,1.53587610045843e+18,1.50919342137381e+18,CanadianUkrain1,False,False,2,,,,positiva
819,936667967718416000,2022-06-12 22:01:44,antipinterester,THIS IS GOOD NEWS BUT WE CANT STOP THE WORK MOMSDEMAND DONTLOOKAWAY TXLEGE,Twitter for Android,121,,,,False,True,0,,,"Dallas, TX",positiva
820,1448308406889090048,2022-06-12 22:01:17,why_wij,WE INTERRUPT YOUR REGULAR PROGRAM TO BRING YOU THE LATEST IN REGULAR NEWS WE HAVE BEEN RECEIVING REPORTS ALL WEEK ON COUNTERFEIT REGULARSNFT PROJECTS THAT HAVE BEEN FLOODING THE MARKET ACCORDING TO SOURCES SOME PEOPLE HAVE LOST EVERYTHING MINTING THESE DERIVATIVE NFTS,Twitter for iPhone,139,,,,False,True,0,,,REGULAR,positiva
821,827904364526328960,2022-06-12 22:00:08,infolinity,DEFENCEU HIGHWAYLASS OLEKSIIREZNIKOV THEECONOMIST THE FACT THAT DAILY REPORTS WHICH WERE FRONT AND CENTRE ON UK NEWS ARE NO LONGER AIRED DOESNT MEAN THAT NOTHING WAS HAPPENING THIS NEEDS TO CHANGE,infolinity,140,,,,False,True,0,,,United States || United Kingdom || South Africa,negativa
822,1330592691588120064,2022-06-12 21:57:44,hani_abuakar,ACCORDING TO NEWS REPORTS SALARIES OF PALESTINIAN AUTHORITY EMPLOYEES INCLUDING TEACHERS AND HEALTHCARE WORKERS HAVE BEEN CUT BY 20 PER CENT,Twitter for Android,144,1.53610547041444e+18,1.33059269158812e+18,hani_abuakar,False,False,0,,,"Gaza, Palestine",neutral/SI
823,2350090470,2022-06-12 21:57:31,BGTANCORE,DEVASTATING NEWS RIP COOPER NORIEGA LIFE IS FRAGILE ENJOY EVERY MINUTE,Twitter for iPhone,112,,,,False,True,0,,,,negativa
824,931870658463707008,2022-06-12 21:57:27,JeremyB44628130,DEAR BBCNEWS BEFORE ANYBODY STARTS TO WATCH YOUR BIAS NEWS REPORTS ON RWANDA I CAN REPORT THAT EVERYONE IN THE PUB LAST NIGHT IS DELIGHTED THE FLIGHTS ARE GOING AHEAD,Twitter for Android,139,,,,False,True,0,,,"England, United Kingdom",positiva
