851,Stayville,2
852,"Paradise, NL, Canada",2
853,scottish/irish/european,2
854,"Oakland, California",2
855,Hope World,2
856,Dunblane girl in Peterhead! ,2
857,Nigeria ,2
858,somewhere,2
859,Scotland #ScotRef #SaorAlba,2
860,Midlands,2
861,Sheffield UK,2
862,No RoeNO H0E,2
863,Rgime de Vichy 2.0,2
864,"Oxford, UK",2
865,Clothing Comms Open 0/4,2
866,empty spaces,2
867,Unceded Huchiun Land,2
868,Federated States of Micronesia,2
869,"Saint Helens, England",2
870,"Peaksville, Plague Island",2
871,Imladris ,2
872,Canada ,2
873,Pittsburgh,2
874,Peterborough,2
875,East Midlands,2
876,Cymru,2
877,"Screwston, Texas",2
878,Leicester,2
879,Forex trading signal provider,2
880,Metaverse ,2
881,West Midlands England,2
882,"Zagreb, Croatia",2
883,He/him,2
884,"Yeovil, England",2
885,Papa's House,2
886,"Gold Coast, Queensland",2
887,Houston Texas,2
888,Pacific Northwest,2
889,"Almere, Nederland",2
890,"Nottingham, UK",2
891,Whitstable,2
892,"Kenosha, WI",2
893,"Derby, UK",2
894,"Glasgow, Scotland, Europe",2
895,U.K,2
896,"Wellington, NZ",2
897,"Barcelona, Spain",2
898,"Waukegan, IL",2
899,Cymru / Wales,2
900,"Southampton, England",2
901,Exeter,2
902,"Rochester, MN",2
903,Wirral,2
904,German/Greek in Glasgow/Dublin,2
905,the abyss,2
906,"Eastbourne, England",2
907,"Cornwall, UK",2
908,Papua New Guinea,2
909,GRITS~Girl Raised in the South,2
910,?,2
911,"Durham, England",2
912,"Kinshasa, RD Congo",2
913,London.,2
914,Pro-PalestineShire,2
915,"Stevenston, Scotland",2
916,It depends and it changes ,2
917,"Lenox Avenue, NY",2
918,"United Kingdom, Europe",2
919,the hood,2
920,/,2
921,"Islington, London",2
922,Other side of Sanity.,2
923,Lost,2
924,"Reading, England",2
925,"Northern Ireland, United Kingdom",2
926,"Mahlanyeng, South Africa",2
927,Milton Keynes,2
928,Nottinghamshire,2
929,European  ,2
930,"Copenhagen, Denmark",2
931,Haarlem,2
932,Unknown,2
933,"Rural W Midlands, v near Wales",2
934,secret,2
935,Georgia,2
936,//,2
937,Gothem City,2
938,Scotland. Europe. ,2
939,"East Riding of Yorkshire, UK",2
940,UK Variant,2
941,ldn,2
942,Lanson,2
943,"Lahore, Pakistan",2
944,"Monaghan, Ireland",2
945,Denmark - Copenhagen North,2
946,south london,2
947,Europe!,2
948,"Scottsdale, AZ",2
949,London UK ,2
950,Yorkshire ,2
951,"Leamington Spa, UK",2
952,"Santa Cruz, CA",2
953,Toronto/Los Angeles/Metaverse,2
954,Bailiwick of Jersey,2
955,Airdrie Scotland,2
956,Ye olde kyningdome of Kent,2
957,Martello bay .UK.,2
958,"Montrose, Scotland",2
959,"Santa Ana, CA",2
960,"Chipping Ongar, East",2
961,"Highlands, Scotland",2
962,"Madrid, Comunidad de Madrid",2
963,Plague Island,2
964,"Greater Accra, Ghana",2
965,"Ile-de-France, France",2
966,"South East, UK ",2
967,Norway,2
968,Somalia,2
969,Somewhere wild,2
970,"Northwich, England",2
971,Roazhon/Rennes/St Malo,2
972,"Kano, Nigeria",2
973,Spain,2
974,"Lambeth, London",2
975,From the Northern Powerhouse,2
976,"Madrid, Spain",2
977,Northern Ireland. UK,2
978,21  she/her,2
979,Rwanda ,2
980,North West England,2
981,"Kirkoswald, Cumbria",2
982,United Kingdom ,2
983,East Yorkshire,2
984,"Cotswolds, Zurich, Paris, dakr",2
985,nomadland,2
986,"Isle of Lewis,Scotland.",2
987,"Burton upon Trent, England",2
988,Bedfordshire ,2
989,Aberdeen,2
990,"Andau, sterreich",2
991,"Kildare, Ireland",2
992,"Federal Capital Territory, Nig",2
993,"Shitta, Surulere. Lagos",2
994,Hampshire,2
995,"Atlanta, Georgia ",2
996,"Clayton, NC",2
997,"Hamilton, Scotland",2
998,Cheshire,2
999,Down the watter frae doomsday.,2
1000,Caerphilly,2
1001,Coventry UK,2
1002,Liverpool and London,2
1003,Outside the standard deviation,2
1004,"Northern Ireland, United Kingd",2
1005,Senegal,2
1006,"London, Paris, Geneva & Lagos",2
1007,Newport,2
1008,Hyperbolic Time Chamber....,2
1009,"Barnstaple, England",2
1010,North Wales,2
1011,"Cornwall, England",2
1012,West Suffolk,2
1013,#Sheffield,2
1014,Dans le jardin,2
1015,"Paisley, Scotland",2
1016,"Strasbourg, France",2
1017,Bangladesh,2
1018,Borough of Tunbridge Wells,2
1019,Oz & Worldwide Walkabout,2
1020,"Essex, England",2
1021,Galway,2
1022,Birmingham UK,2
1023,"Gloucester, England",2
1024,Kernow,2
1025,Wallasey,2
1026,Liverpool England,2
1027,Engraved In God's Palm,2
1028,Tralfamadore,2
1029,"Ayr, Scotland",2
1030,Buckinghamshire,2
1031,"Dundee, Scotland",2
1032,Suffolk,2
1033,"Le Mans, France ",2
1034,"Preston, England",2
1035,"London, England ",2
1036,mancunian,2
1037,"Birmingham, UK / Toronto, CAN",2
1038,watchin Sheeple,2
1039,The Kingdom of Mercia,2
1040,"Huyton-with-Roby, England",2
1041,Montreal,2
1042,"kigali, Rwanda",2
1043,"Warsaw, Poland",2
1044,The Co-op Circle of Hell,2
1045,West Midlands,2
1046,"Kent, United Kingdom",2
1047,Scenic Maine,2
1048,"Bournemouth, England",2
1049,"Ipswich, England",2
1050,"Canterbury, England",2
1051,The Wet and Wonderful UK,2
1052,where strange worlds collide ,2
1053,"Bury Saint Edmunds, England",2
1054, Bristol ,2
1055,Here There Everywhere,2
1056,"Vende, Pays de la Loire",2
1057,"Leicester, London & Manchester",2
1058,"Little England, Plague Island",2
1059,"Scotland, European",2
1060,"Lusaka, Zambia",2
1061,St Helens,2
1062,"Worthing, England",2
1063,"East, England",2
1064,"Fareham, Hampshire",2
1065,scotland ,2
1066,"Barnet, London",2
1067,Berkshire,2
1068,Burton Upon Trent,2
1069,"Okehampton, England",2
1070,merseyside,2
1071,The Entire World ,2
1072,"Greenock, Scotland",2
1073,Madrid,2
1074,"London, UK ",2
1075,drinking chai/matcha,2
1076,"Sunderland, England",2
1077,"Wundanyi, Kenya",2
1078,"48.840817,2.22967",2
1079,"Lagos, Nigeria.",2
1080,Teesside,2
1081,Cairngorms,2
1082,"Swindon, Wiltshire, Blighty",2
1083,3rd rock from the sun,2
1084,In A Plane ,2
1085,England. ,2
1086,el pulgarcito El Salvador,1
1087,lima,1
1088,Bah,1
1089,"Gibsons, British Columbia",1
1090,"Dallas, Texas",1
1091,"Samsara, for now",1
1092,Suisse romande ,1
1093,Kochi,1
1094,"Bekasi, Jawa Barat",1
1095,"Marine Lines, Mumbai",1
1096,"Munich, Bavaria",1
1097,Punjab,1
1098,West Wakanda,1
1099,ph | 20 | she!her,1
1100,Plante Terre,1
1101,"Sonsonate, El Salvador",1
1102,apobangpo,1
1103,The Other Side of the Screen,1
1104,"San Jose Del Monte, Central Lu",1
1105," s-nsfw, no dms",1
1106,Democratic Republic of Congo,1
1107,El Salvador,1
1108,"Erewash, Derbyshire, UK",1
1109,"Sunshine Coast, Queensland",1
1110,Planet Earth! ,1
1111,",,Minecraft?@somoki758",1
1112,"Southlake, TX",1
1113,Houston Tx 713,1
